연구현황,연구정보,연구의뢰자,연구비지원기관,연구종류,임상시험단계,중재종류,등록번호,연구고유번호,연구대상/질환,등록일,최종갱신일,첫환자등록일자,연구종료일,주요결과변수
모집 중(Recruiting),"복강경 및 로봇-복강경 위절제 수술 후 통증 환자를 대상으로 VVZ-149 Injection의 진통 효능 및 안전성 평가를 위한 무작위 배정, 이중눈가림, 평행군, 위약대조 임상시험 - A Randomized, Double-Blind, Parallel Group, Placebo-Controlled Study to Evaluate the Analgesic Efficacy and Safety of VVZ-149 Injection for Post-operative Pain following Laparoscopic or Robotic-assisted Laparoscopic Gastrectomy",학교법인연세대학교의과대학세브란스병원,(주)비보존(Vivozon),중재연구(Interventional Study),Phase2,의약품(Drug),KCT0002075,PT-VVZ149-05,Postoperative Pain,2016-09-27,2016-09-28,2016-06-10,2017-08-31,통증 강도(Pain Intensity (Numerical Rating Scale))
대상자 모집 전(Not yet recruiting),항 경련제를 투약하는 소아와 정상 소아에서 rocuronium의 약력학적 모델링 - Pharmacodynamic modeling of rocuronium in children taking antiepileptic drugs - comparison with normal children,서울대학교병원,서울대학교병원(Seoul National University Hospital),중재연구(Interventional Study),해당사항없음(Not applicable),의약품(Drug),KCT0002074,H-1607-162-779,general anesthesia,2016-09-23,2016-09-20,2016-09-26,2017-07-31,회복 지수(Recovery index)
모집 중(Recruiting),역행성 인공 견관절 전치환술 시 Tranexamic acid 투여방법에 따른 효과 - 전향적 다기관 무작위 대조 연구 - - The effect according to the injection type of tranexamic acid on reverse total shoulder arthroplasty - prospective multi-center randomized control study -,분당서울대학교병원,(주)이그잭텍코리아(Exactech Korea),중재연구(Interventional Study),해당사항없음(Not applicable),의약품(Drug),KCT0002073,06-2016-177,"Arthroplasty Arthroplasty, Replacement Joint prothesis Rotator Cuff Osteoarthritis Shoulder Impingement Syndrome Tendon injuries",2016-09-22,2017-04-25,2016-08-23,2017-10-01,수술 후 1일의 혈색소 감소량 (수술 전 혈색소 수준 - 수술 1일 째 혈색소 수준)(Decreased amount of hemoglobin level of postoperative 1 day (Preoperative hemoglobin level - postoperative 1 day hemoglobin level))
모집 중(Recruiting),지역사회 및 병원 내원 치매 환자에서 치매 진단 방법의 비용 효과 분석 (1세부과제 명: 알츠하이머 치매 환자에서의 아밀로이드 뇌 영상 검사의 진단적 가치평가 및 적용기준 개발 - Cost effectiveness of diagnostic methods for dementia patient in community and hospital (Sub-project1: Evaluation of diagnostic value and development of application standards of brain amyloid imaging in patients with Alzheimer’s disease),고려대학교의과대학부속구로병원,보건복지부(Ministry of Health & Welfare),관찰연구(Observational Study),,,KCT0002072,KUGH16090,Alzheimer Dementia (AD) Mild Cognitive Impairment (MCI),2016-09-22,2017-02-02,2016-07-06,2018-10-31,비용-효과(cost-effectiveness)
모집 중(Recruiting),간경변증 환자에서 8주 집중 운동 프로그램과 8주 재가 운동 프로그램의 다면적 효과: 환자교차연구 (선행연구) - Multivalent effect of intensive aerobic and anaerobic exercise for 8 weeks and home exercise for 8 weeks in patients with liver cirrhosis: A case-crossover study (Preliminary study),한림대학교,한림대학교성심병원(Hallym University Medical Center),중재연구(Interventional Study),해당사항없음(Not applicable),기타(Others),KCT0002071,2016-I109,Liver Cirrhosis,2016-09-21,2016-09-18,2016-08-10,,알부민(Albumin)
모집 중(Recruiting),갱년기증후군 환자의 치료전후에 따른 요골동맥 맥파의 변화 특성을 파악하기 위한 중재 관찰연구: 탐색 임상시험 - Observational study on the pulse waveform change of menopausal syndrome patients treated by Korean herbal medicine,경희대학교,한국한의학연구원(Korea Institute of Oriental Medicine),중재연구(Interventional Study),해당사항없음(Not applicable),의약품(Drug),KCT0002070,KOMCIRB-160620-HR-031,N95 폐경 및 기타 폐경 전후 장애 Menopausal and other perimenopausal disorders,2016-09-21,2017-02-03,2016-08-08,2017-04-15,맥력지수(Pulse Pressure Index (PPI))
모집 중(Recruiting),새로 진단된 만성골수성백혈병 만성기 환자를 대상으로 초기 분자학적 반응에 따라 조절한 이매티닙 (글리닙?)용량 600mg/일의 유효성 및 안전성을 평가하기 위한 제 4상 임상시험 - A Phase IV Study to Evaluate Efficacy and Safety of Imatinib (Glinib?)600mg/day Depending on Early Molecular Responses in Newly Diagnosed Patients with Chronic Myeloid Leukemia in Chronic Phase,(사)삼성생명공익재단삼성서울병원,동아에스티(주)(Dong-A ST),중재연구(Interventional Study),Phase4,의약품(Drug),KCT0002068,IMA_CML_IV,새로 진단된 만성골수성백혈병 만성기 환자,2016-09-21,2016-08-12,2014-09-12,,"3개월 째 BCR-ABL > 10%인 대상자에 대해 Group B 의 12개월째 MMR rate가 3개월 째 BCR-ABL이 >10%인 대상자에 대해 문헌 대조군의 12개월째보다 우월함을 입증(MMR rate at 12 months in two groups will be compared. Group A is consisted of patients with equal or less than 10% of BDR-ABL, Group B is consisted of patients with more than 10% of BDR-ABL.)"
대상자 모집 전(Not yet recruiting),"국내 병적비만환자의 비만대사수술의 체중감소, 동반질환개선 효과 및 수술 안전성에 대한 전향적 다기관 코호트 연구 - Efficacy and safety of bariatric surgery for Korean morbidly obese patients : Prospective multicenter cohort study",인하대학교,보건복지부(Ministry of Health & Welfare),관찰연구(Observational Study),,,KCT0002067,INHAUH 2016-06-015,severe obesity comorbidity metabolic syndrome,2016-09-20,2016-09-02,2016-09-13,2018-10-31,"체중 변화율 (%), 허리 둘레 변화율 (%) (% of weight loss, % of waist circumference)"
연구종결(Completed),"라이펜D를 이용한 귀두확대술의 안전성 및 효과를 평가하기 위한 단일군, 단일눈가림, 2기관, 24주간 임상시험 - Single-arm, single-blind, two center, 24 week design clinical study to evaluate the safety and efficacy of Lipen-D for glans penis augmentation",성심의료재단강동성심병원,청화메디파워주식회사(Chunghwa Medipower),중재연구(Interventional Study),Phase2,의료기구(Medical Device),KCT0002066,2013-02-03,Subjects with small penis syndrome,2016-09-20,2016-08-26,2013-08-13,2014-02-19,발기상태가 아닌 평소의 귀두면적이 시술 전에 비해 20% 이상 증대를 기준으로 함.(an increase in glans surface area of 20% or more.)
모집 중(Recruiting),한국인 척추 시상면 불균형의 임상적 의의와 위험인자 발굴을 위한 전향적 다기관 관찰연구 - The multicenter prospective study for risk factor and clinical meaning of spinal sagittal imbalance in Korean,학교법인연세대학교의과대학세브란스병원,보건복지부(Ministry of Health & Welfare),관찰연구(Observational Study),,,KCT0002065,2016-31-0232,척추 시상면 불균형 환자: 척추 시상면 불균형의 정의는 척추 시상균형이 5cm 이상인 자로 함.,2016-09-20,2016-09-02,2016-07-19,2018-10-01,한국인의 척추 시상면 방사선학적 변수 표준화(standardize sagittal imbalance radiographic change in Korean)
대상자 모집 전(Not yet recruiting),과민성대장증후군 환자에 대한 뜸치료 무작위대조임상시험 - Symptom management for irritable bowel syndrome : a pilot randomized controlled trial of moxibustion.,세명대학교,한국한의학연구원(Korea Institute of Oriental Medicine),중재연구(Interventional Study),해당사항없음(Not applicable),시술/수술(Procedure/Surgery),KCT0002064,2016-06-01,과민성 대장 증후군(IBS: irritable bowel syndrome),2016-09-19,2016-09-07,2016-09-30,,Bowel SymptomSeverity Scale 점수(Bowel Symptom Severity Scale(BSSS) score)
연구철회(Withdrawn),어깨 퇴행성 회전근개 파열에서 골수천자농축액을 이용한 줄기세포치료술의 효능 검증: 관절경적 봉합술에 골수천자농축액과 혈소판 풍부 혈장의 적용 시 상승효과 - Identifying the evidence of efficacy of arthroscopic rotator cuff repair treated with Bone Marrow Aspirate Concentrate (BMAC): Synergistic effect of Bone Marrow Aspirate Concentrate (BMAC) and Platelet Rich Plasma (PRP) in arthroscopic tendon repair,한림대학교강남성심병원,보건복지부(Ministry of Health & Welfare),중재연구(Interventional Study),Phase1/Phase2,시술/수술(Procedure/Surgery),KCT0002063,2016-01-01(201),회전근개 파열(size: 2~5cm)환자: MRI의 Coronal section에서 가장 넓은 tear size 기준으로 2~5cm에 부합되는 환자들을 대상으로 한다.,2016-09-19,2017-02-06,2016-10-01,2019-06-30,MRI상의 치료군간의 재파열 빈도율 (%)(recurrance shown in MRI (%))
모집 중(Recruiting),폰탄수술을 받는 선천성 심장질환 환자에서 비침습적 심박출량 모니터 장비를 이용해 측정된 thoracic fluid contents (TFC) 와 체중 변화 및 수액 용법과의 관계 - The correlation between the change in thoracic fluid content and the change in patient body weight in Fontan procedure,건국대학교병원,건국대학교병원(Konkuk University Medical Center),관찰연구(Observational Study),,,KCT0002062,KUH1160103,Fontan operation,2016-09-19,2016-09-06,2016-08-05,,흉곽수액내용(Thoracic fluid content)환자의 체중(Body weight of patient)수술 중 수액 입출력 균형(intraoperative fluid balance (Input/Output) )Thoracic fluid content 의 초기값에 대한 변화량(TFCd0%)
모집 중(Recruiting),Trendenlenburg 체위에서 시행하는 수술 중 안압을 떨어뜨리기 위한 esmolol의 효과 - Effect of esmolol in alleviating IOP during surgery inTrendelenburg position,학교법인가톨릭학원가톨릭대학교서울성모병원,"학교법인가톨릭학원가톨릭대학교서울성모병원(The Catholic University of Korea, Seoul St. Mary's Hospital)",중재연구(Interventional Study),Phase4,의약품(Drug),KCT0002061,KC15MISI0912,Tredelenburg group: laparoscopic or robotic colon surgery,2016-09-19,2016-09-06,2016-01-25,2016-08-31,군 간의 각 시점에 따른 안압 및 안구관류압의 비교를 one-way ANOVA를 시행하여 분석한다. (IOP and ocular perfusion pressure at each time point are conpared with one-way ANOVA between groups. )
모집 중(Recruiting),"아토피피부염 환자에서 자운고 국소 도포의 치료효과, 용량반응, 안전성 확인 - Efficacy, safety and dose finding trial of topical Jaungo application in atopic dermatitis patients: a randomized, double-blind, placebo-controlled study",강동경희대학교한방병원,보건복지부(Ministry of Health & Welfare)보건복지부(Ministry of Health & Welfare),중재연구(Interventional Study),Phase2,의약품(Drug),KCT0002060,ISEE_2015_JWG,"Dermatitis, Atopic",2016-09-13,2016-10-19,2016-09-20,2016-12-31,습진 면적과 중증도 평가척도(EASI (Eczema area and severity index) )
모집 중(Recruiting),고위험군 환자의 조기 발견 및 선제적 대응을 위한 시스템 구축 - Development of system for early detection and intervention of high risk patients,재단법인아산사회복지재단 서울아산병원,보건복지부(Ministry of Health & Welfare),관찰연구(Observational Study),,,KCT0002059,HI15C1106,Critical Illness,2016-09-13,2016-09-11,2015-10-22,2016-07-31,이상 반응(중환자실 전동)(adverse event (ICU admission))
모집 중(Recruiting),다른 목표 굴절력의 가시거리 신장 일체형 다초점인공수정체 삽입 후 임상결과 - Clinical Outcomes after Extended Range of Vision 1-Piece Intraocular Lens Implantation with Different Target Refraction,고려대학교의과대학부속안산병원,고려대학교의과대학부속안산병원(Korea University Ansan Hospital),중재연구(Interventional Study),해당사항없음(Not applicable),"의료기구(Medical Device), 시술/수술(Procedure/Surgery)",KCT0002058,AS16061,백내장 Cataract,2016-09-13,2016-09-01,2016-07-13,2017-07-11,원거리 시력(Distance visual acuity)중간거리 시력(Intermediate visual acuity)근거리 시력(Near visual acuity)Defocus curve(Defocus curve)
대상자 모집 전(Not yet recruiting),치아가 없는 환자에서 후두경 날 크기에 따른 직접 후두경 소견 비교 - A comparison of direct laryngoscopic view depending on blade size in edentulous patients,서울특별시보라매병원,서울특별시보라매병원(Seoul Metropolitan Government Seoul National University Boramae Medical Center),중재연구(Interventional Study),해당사항없음(Not applicable),시술/수술(Procedure/Surgery),KCT0002057,20160620/16-2016-76/071,해당사항없음,2016-09-13,2016-09-07,2016-09-19,2017-04-13,직접 후두경 소견(Direct laryngoscopic view)
연구종결(Completed),체지방 및 혈당 개선용 테로카판 강화 기능성소재 개발 - Development of high-pterocarpan functional materials for regulation of body fat and blood glucose,경북대학교,"농림축산식품부(Ministry of Agriculture, Food and Rural Affairs)",중재연구(Interventional Study),해당사항없음(Not applicable),식이보충제(Dietary Supplement),KCT0002056,KNU2013-0018,(mild) Metabolic Syndrome X,2016-09-13,2016-08-30,2014-03-25,2014-06-17,혈당 관련 생화학 지표(Fasting blood glucose level)
대상자 모집 전(Not yet recruiting),식물추출물 함유 멀티비타민/무기질의 항산화능과 DNA 유지 기능 확인을 위한 인체적용시험 - A human study for evaluating the effects of multivitamin-multimineral supplement containing phytonutrients on antioxidant capacity and DNA stability,이화여자대학교,"한국암웨이 (주)(Amway Korea)미래창조과학부(Ministry of Science, ICT & Future Planning)",중재연구(Interventional Study),해당사항없음(Not applicable),식이보충제(Dietary Supplement),KCT0002055,NGDX_AW,"흡연자를 포함한 남녀, Recommended Food Score (RFS)가 36점 이하인 자",2016-09-13,2016-08-31,2016-09-19,2018-07-13,항산화 지표(Source of oxidative stress in plasma)DNA 손상 지표(DNA damage )
대상자 모집 전(Not yet recruiting),흉부 경막외 차단술 시 어깨 회전 상태에서의 정좌위 방정중식 방법과 좌우 측와위 자세에서 방정중식 접근의 초음파 목표음 향창 비교 - Comparison of the acoustic target window between the lateral and sitting position with shoulder rotation for thoracic paradedian epidural approach,성심의료재단강동성심병원,성심의료재단강동성심병원(Kangdong Sacred Heart Hospital),관찰연구(Observational Study),,,KCT0002054,KANGDONG 2016-05-002-001,20-60세 성인으로 본원 통증클리닉에 방문한 자 중에서 대상자 제외 기준에 해당되지 않는 모든 자,2016-09-12,2016-09-08,2016-10-01,2017-03-31,후종인대의 길이(Length of posterior longitudinal ligament )
대상자 모집 전(Not yet recruiting),전신 마취를 받는 소아에서 마취로부터의 각성 및 회복 시 엄마의 목소리와 음악을 들려주는 것의 효과 - Effect of recorded maternal voice and music on emergence and postoperative recovery from general anesthesia in children,서울대학교병원,서울대학교병원(Seoul National University Hospital),중재연구(Interventional Study),해당사항없음(Not applicable),행동요인(Behavioral),KCT0002053,H-1605-148-767,"anesthesia, general",2016-09-12,2016-08-31,2016-09-05,,각성기 섬망 발생 비율(Incidence of emergence delirium )
모집 중(Recruiting),"비침습적산전검사(noninvasive prenatal testing, NIPT) 도입에 따른 한국인 임신부에서 산전진단방법 비용효과 연구 - The cost-effectiveness study for clinical implementation of NIPT (noninvasive prenatal testing) in prenatal diagnosis of Korean pregnant women",의료법인 제일의료재단 제일병원,보건복지부(Ministry of Health & Welfare),관찰연구(Observational Study),,,KCT0002052,CGH-IRB-2016-13,prenatal Diagnosis,2016-09-12,2016-08-26,2016-06-21,,산전검사 시행여부(Whether prenatal tests performed)
모집 중(Recruiting),노쇠의 낙상예방을 위한 삼축가속계 기반 착용형 보행분석 시스템 개발 연구 - Wearable gait analysis system based on triaxial accelerometers for fall prevention in frail elderly,분당서울대학교병원,보건복지부(Ministry of Health & Welfare),관찰연구(Observational Study),,,KCT0002051,B-1603/338-301,without communication disorders,2016-09-09,2016-09-07,2016-07-05,2020-11-30,노쇠 위험과 관련된 보행 지표(To develope gait parameters which relates with higher risk of frailty)
모집 중(Recruiting),고령 천식-만성폐쇄성폐질환 (COPD) 중첩증후군 (Asthma-Chronic Obstructive Pulmonary Disease (COPD) overlap syndrome (ACOS)) 환자의 적정 흡입치료 비교효과 연구 - Comparative study on effectiveness of inhaler treatment for elderly patients with asthma-chronic obstructive pulmonary disease (COPD) overlap syndrome (ACOS),재단법인아산사회복지재단 서울아산병원,보건복지부(Ministry of Health & Welfare),중재연구(Interventional Study),해당사항없음(Not applicable),의약품(Drug),KCT0002050,2016-0729,Asthma COPD overlap syndrome,2016-09-09,2016-09-02,2016-08-24,,첫 급성 악화까지 걸린 시간 (Time to first exacerbation)
연구종결(Completed),"뇌경색 환자에서 다빈도 한약제제 오적산 및 보중익기탕과 항혈소판제제 아스피린과의 약물상호 작용 비교연구 : 무작위 위약대조 이중맹검 임상시험 - The herb-drug interaction between O-Geok-San, Bojungikqitang and aspirin in ischemic stroke patients: randomized placebo controlled clinical trial",경희대학교한방병원,보건복지부(Ministry of Health & Welfare),중재연구(Interventional Study),Phase3,의약품(Drug),KCT0002049,KOMC IRB 2009-15호,Ischemic stroke,2016-09-09,2016-09-02,2011-09-19,2012-01-12,혈소판 응집력(Platelet aggregation )
모집 중(Recruiting),"호흡근 훈련을 병행한 체간 안정화 운동이 만성 뇌졸중 환자의 복부 심부근 두께, 호흡근 기능, 및 체간 균형에 미치는 영향 - Effect of Additional Respiratory Muscle Training with Trunk Stabilization Exercise on Abdominal Muscles Thickness, Respiratory Muscle Function, and Trunk Balance in Chronic Stroke Patients.",삼육대학교,의료법인 춘혜의료재단 명지춘혜병원(Myeongji Choonhye Hospital),중재연구(Interventional Study),해당사항없음(Not applicable),기타(Others),KCT0002048,2-1040781-AB-N-01-2016038HR,Chronic Stroke,2016-09-09,2016-09-03,2016-07-25,2016-09-17,심부 복부근 두께(Lateral abdominal muscle thickness)호흡근 기능(Respiratory muscle function)체간 균형(Trunk stability)
모집 중(Recruiting),관상동맥 우회수술 중 측정한 이식혈관 혈류속도에 대한 혈액점도의 효과 - The effect of whole blood viscosity on intra-operative graft flow during coronary artery bypass graft surgery,재단법인아산사회복지재단 서울아산병원,재단법인아산사회복지재단 서울아산병원(Asan Medical Center),관찰연구(Observational Study),,,KCT0002047,2016-0492,Myocardial Ischemia,2016-09-09,2016-09-06,2016-07-05,2017-06-30,LIMA (left internal mammary artery) 와 LAD (left anterior descending artery) 문합 혈관의 평균 혈류 속도 ( mean flow rate in the anastomosis with LIMA (left internal mammary artery) to LAD (left anterior descending artery) )
모집 중(Recruiting),"만성 뇌졸중 환자에서 체중 탈부하 지상 보행운동의 운동형상학과 운동역학에 미치는 영향을 평가하기 위한 단일기관, 무작위배정, 단일 눈가림 및 평행설계 연구자 임상시험 - The effects of body weight supported overground walking training on gait kinematic and kinetics in chronic hemiplegic patients: single center, single blind, randomized controlled parallel study",전남대학교병원,"산업통상자원부(Ministry of Trade, Industry & Energy)",중재연구(Interventional Study),해당사항없음(Not applicable),의료기구(Medical Device),KCT0002046,CNUH-2016-082,만성뇌졸중환자(Chronic hemiplegic patients),2016-09-09,2016-09-05,2016-04-14,2016-11-30,3D 보행분석(3D-gait analysis)
모집 중(Recruiting),경피적으로 삽입된 복막투석도관의 장기 생존 연구 - Long-term survival of the peritoneal dialysis catheter following percutaneous catheter insertion,건국대학교,건국대학교병원(Konkuk University Medical Center),관찰연구(Observational Study),,,KCT0002045,KUH1010795,End stage renal disease patient in peritoneal dialysis,2016-09-09,2016-08-12,2016-07-29,2016-12-31,도관 제거 유무(생존율)(Catheter removal(Survival rate))
연구종결(Completed),화장품 (시험군/ 대조군)의 피부 주름개선효과 평가시험 - A clinical study of cosmetics for anti-wrinkle effect on human skin,(주)더마프로,한국한의학연구원(Korea Institute of Oriental Medicine),중재연구(Interventional Study),Phase1/Phase2,기타(Others),KCT0002044,제1-220777-A-N-02호-DICN15031,healthy Korean female subjects,2016-09-09,2016-09-01,2015-03-16,2015-07-10,주름파라미터(wrinkle parameter)
모집 중(Recruiting),전국단위 고관절 골절 등록 코호트 구축 - Nationwide Hip Fracture Registry Cohort,중앙대학교병원,한국보건의료연구원(National Evidence-based Healthcare Callaborating Agency),관찰연구(Observational Study),,,KCT0002042,C2016032(1775),고관절 골절 환자(Hip Fractures),2016-09-06,2016-08-25,2016-04-25,2018-12-31,발생률(incidence rate)사망률(mortality rate)
연구종결(Completed),응급의료센터 의료진을 대상으로 한 의료용 N95 마스크 착용방법에 대한 교육 전후 밀착계수의 변화 및 교육 지속 효과 - The effectiveness and persistency of fit factor of N95 mask education with healthcare provider in emergency medical center: randomized clinical trials,한양대학교병원,한양대학교병원(Hanyang University Seoul Hospital),중재연구(Interventional Study),해당사항없음(Not applicable),의료기구(Medical Device),KCT0002041,HYI-15-187-1,"respiratory protective device, masks",2016-09-05,2016-10-23,2016-08-15,2016-08-24,밀착 계수 (Fit factor )
모집 중(Recruiting),"갱년기장애에 대한 계지복령환의 효과 : 무작위, 이중눈가림, 위약대조, 예비연구 - Effect of Guizhifulingwan (Keishibukuryogan) on climacteric syndrome : a randomized, double-blind, placebo-controlled pilot trial",대전대학교대전한방병원,한국한의학연구원(Korea Institute of Oriental Medicine),중재연구(Interventional Study),해당사항없음(Not applicable),의약품(Drug),KCT0002040,KI1602,Climacteric,2016-09-05,2016-10-26,2016-10-26,,폐경 평가 척도(Menopause rating scale)
모집 중(Recruiting),만성 B형간염 환자에서 항바이러스 약물요법 최적화 - Optimization of Antiviral Treatments for Chronic Hepatitis B to Improve Clinical Outcomes,서울아산병원(울산대부설),보건복지부(Ministry of Health & Welfare),관찰연구(Observational Study),,,KCT0002039,2016-0304,chronic hepatitis B,2016-09-05,2016-08-22,2016-03-24,2018-12-31,간암 발생율(Incidence of hepatocellular carcinoma)
모집 중(Recruiting),치료 반응에 근거한 고위험군 신경모세포종의 치료 - Response-based treatment of high-risk neuroblastoma,삼성서울병원,보건복지부(Ministry of Health & Welfare),중재연구(Interventional Study),Phase2,의약품(Drug),KCT0002038,2015-02-064,High risk neuroblastoma,2016-09-02,2016-08-29,2014-11-29,,무사건 생존율(Rate of event free survival)
모집 중(Recruiting),"수술이 불가능한 진행성 또는 전이성 췌장암 환자에서의 HDAC 억제제인 CG200745 PPA와 Gemcitabine/Erlotinib 병용치료의 유효성 및 안전성을 평가하기 위한 비비교, 공개, 단일기관, 1/2상 임상 시험 - A Phase I/II Study of Combination Therapy of CG200745 PPA (Histone Deacetylase Inhibitor) with Gemcitabine and Erlotinib to Determine the Maximum Tolerated Dose and Evaluate the Safety and Efficacy for Locally Advanced Unresectable, or Metastatic Pancreatic Cancer",학교법인연세대학교의과대학세브란스병원,크리스탈지노믹스(주)(CrystalGenomics),중재연구(Interventional Study),Phase1/Phase2,의약품(Drug),KCT0002037,4-2016-0033,수술이 불가능한 환자로 조직학 또는 세포학적으로 확진된 진행성 또는 전이성 췌장선암 (Pancreatic adenocarcinoma) 환자,2016-09-02,2016-09-01,2016-04-07,2018-12-31,"CR(완전관해, Complete response), PR (부분 관해, Partial response), SD(stable disease)로 평가되는 질병조절율 (Disease control rate, DCR %)을 평가한다. (DCR(Disease control rate) is the proportion of the subjects with CR(Complete response), PR(Partial response), and stable disease (SD) in comparison to the total subjects at the final tumor assessment point (cycle 6) from the baseline. )"
대상자 모집 전(Not yet recruiting),허혈성 뇌졸중에서 정맥내 혈전용해치료 및 동맥내 재개통치료의 효용성을 높이기 위한 CT 영상과 동반질환지표 선별기준 개발 - Development of patient selection criteria for efficient intravenous thrombolytic and intra-arterial recanalization therapy in acute ischemic stroke,연세대학교,보건복지부(Ministry of Health & Welfare),관찰연구(Observational Study),,,KCT0002036,4-2015-1196,Stroke [C10.228.140.300.775] Cerebral Infarction [C10.228.140.300.775.200.200],2016-09-02,2016-08-29,2016-09-01,2018-10-31,"퇴원 및 3개월 mRS(Modified Rankin scale) 점수의 변화(Modified Rankin scale scores at discharge and 3 months )6개월 사망 여부 및 추적 중 사망의 변화(Death at 6 months and during follow-up)NIHSS(National Institutes of Health Stroke Scale) 점수(IV rt-PA(intravenous recombinant tissue plasminogen activator) infusion 직후, 1일 및 퇴원 시) 차이(NIHSS(National Institutes of Health Stroke Scale) scores after IV rt-PA(intravenous recombinant tissue plasminogen activator) infusion, at 1 day and discharge )혈관 재개통 변화(Recanalization rate)뇌출혈 발생 변화(Hemorrhagic transformation)합병증 발생 (생명을 위협하는 두개외 출혈, 뇌탈출, 감염증) 변화(Complications (extracranial life-threatening bleeding, herniation, infection))"
모집 중(Recruiting),섬유근통 환자에서 경두개 직류 전기자극의 효과에 대한 연구 - A randomized controlled trial of transcranial direct current stimulation in patients with fibromyalgia,전남대학교병원,전남대학교병원(Chonnam National University Hospital),중재연구(Interventional Study),해당사항없음(Not applicable),시술/수술(Procedure/Surgery),KCT0002035,tDCS FMS,fibomyalgia,2016-09-02,2016-08-31,2016-07-28,2018-12-31,통증 점수(pain Visual Analogue Scale score)섬유근통 영향척도(Fibromyalgia Impact Questionnaire score )
"모집추가없이 진행중(Active, not recruiting)",화장품 (시험군/ 대조군)의 피부 주름개선 효과 평가시험 - A clinical study of skin wrinkle of test product on human skin,(주)더마프로,한국한의학연구원(Korea Institute of Oriental Medicine),중재연구(Interventional Study),Phase1/Phase2,기타(Others),KCT0002034,제1-220777-A-N-02호-DICN16109,healthy Korean female subjects,2016-09-02,2016-08-26,2016-07-04,2016-10-28,주름파라미터 (wrinkle parameter )
모집 중(Recruiting),요통 환자 수술적 치료와 비수술적 치료의 비교 효과 연구 - Comparative Effectiveness Study for Surgery vs. Non-Surgery in Patients with Low Back Pain (CES_SNS_LBP),서울대학교,보건복지부(Ministry of Health & Welfare),중재연구(Interventional Study),해당사항없음(Not applicable),시술/수술(Procedure/Surgery),KCT0002033,H-1605-013-759,"low back pain, herniated intervertebral disc disease, spinal stenosis",2016-09-01,2016-09-09,2016-08-16,2021-12-31,"치료 성공률, 요통의 통증 척도가 (0 - 10) 2.5 이상 감소하거나 통증이 3.5 미만인 것으로 정의한다 (Treatment success rate, Visual analog scale (VAS) is decresed more than 2.5 or VAS is less than 3.5. )"
대상자 모집 전(Not yet recruiting),무릎 골관절염 환자의 약물 치료 비교효과 연구 - Comparative effectiveness research for treatment of knee osteoarthritis,한양대학교,보건복지부(Ministry of Health & Welfare),관찰연구(Observational Study),,,KCT0002031,HYUH 2016-06-008-002,Osteoarthritis,2016-08-30,2016-08-12,2016-11-01,,통증(Pain)기능평가(functional disability)관절강 소실(loss of articular space)
모집 중(Recruiting),타목시펜과 자음강화탕 과립엑스제의 병용투여가 유방암 환자의 자궁내막에 미치는 영향: 예비임상연구 - The Effect of co-administration Tamoxifen and Jaeumkanghwa-tang extract on Endometrium of Breast cancer patients : a pilot study,대구가톨릭대학교,재단법인 통합의료진흥원(Comprehensive & Integrative Medicine Institute),중재연구(Interventional Study),Phase4,의약품(Drug),KCT0002030,CIMI-15-01-05,유방암으로 타목시펜을 6개월 이상 복용하고 있는 환자 중 폐경 이후인 자,2016-08-29,2016-08-22,2016-03-31,2016-08-31,polyp의 크기와 모양(size and shape of polyps)자궁경을 통해 자궁경부의 색깔의 변화 정도를 확인( color of cervix with hysteroscopic) fluid accumulation의 범위 또는 양(the range or amount of fluid accumulation )cyst의 크기와 개수 ( the size and number of cyst )
모집 중(Recruiting),"최소간성뇌증이 동반된 만성 B형 간염으로 인한 간경변 환자에서 엘칸정(L-carnitine) 투여가 삶의 질에 미치는 영향에 대한 무작위배정, 다기관, 이중눈가림, 위약대조군, 연구자 주도 임상 - A randomized, multi-center, double-blinded, placebo controlled, investigator initiated trial to assess the impact on quality of life of L-carnitine administration in the liver cirrhosis due to chronic hepatitis B patients with Covert hepatic encephalopathy",한양대학교,일동제약(주)(Ildong pharmaceutical),중재연구(Interventional Study),Phase4,의약품(Drug),KCT0002029,HYUH 2015-10-003,B형 간염으로 인한 최소간성 뇌증 환자,2016-08-26,2016-08-22,2016-04-21,2018-12-31,삶의 질(Life of quality)
"모집추가없이 진행중(Active, not recruiting)",한국인 다발골수종 특징 규명 및 위험도에 따른 맞춤치료를 위한 FISH 패널 개발의 기초자료 생성 - Characteristics of Korean Multiple Myeloma and Development of FISH panel for Risk Adaptive Approach to Treatment,서울대학교병원,보건복지부(Ministry of Health & Welfare),관찰연구(Observational Study),,,KCT0002028,H-1602-033-739,multiple myeloma,2016-08-26,2016-08-22,2016-02-15,2016-08-20,무질병생존율(progression free survival )
